trial	copf	ropf	ccc	rcc	eta	csjc	rsjc	eps
160	567.073	0.0170978	568.38	0.0176679	0.435936	565.215	0.00992713	0.00992693
161	567.073	0.0170978	568.389	0.0176712	0.435536	565.215	0.00992042	0.00992022
162	567.073	0.0170978	568.399	0.0176745	0.435135	565.215	0.00991372	0.00991351
163	567.073	0.0170978	568.408	0.0176778	0.434735	565.215	0.00990701	0.00990681
164	567.073	0.0170978	568.418	0.0176814	0.434334	565.215	0.0099003	0.0099001
165	567.073	0.0170978	568.427	0.0176863	0.433934	565.215	0.0098936	0.00989339
166	567.073	0.0170978	568.437	0.0176914	0.433534	565.215	0.00988689	0.00988669
167	567.073	0.0170978	568.447	0.0176955	0.433133	565.215	0.00988019	0.00987998
168	567.073	0.0170978	568.456	0.0176989	0.432733	565.215	0.00987348	0.00987327
169	567.073	0.0170978	568.466	0.0177023	0.432332	565.215	0.00986678	0.00986657
170	567.073	0.0170978	568.476	0.0177056	0.431932	565.215	0.00986007	0.00985986
171	567.073	0.0170978	568.485	0.0177092	0.431532	565.215	0.00985337	0.00985315
172	567.073	0.0170978	568.495	0.0177132	0.431131	565.215	0.00984666	0.00984645
173	567.073	0.0170978	568.505	0.0177171	0.430731	565.215	0.00983996	0.00983974
174	567.073	0.0170978	568.514	0.0177214	0.43033	565.215	0.00983325	0.00983303
175	567.073	0.0170978	568.524	0.0177257	0.42993	565.215	0.00982655	0.00982633
176	567.073	0.0170978	568.534	0.0177301	0.42953	565.215	0.00981984	0.00981962
177	567.073	0.0170978	568.544	0.0177345	0.429129	565.215	0.00981314	0.00981291
178	567.073	0.0170978	568.554	0.017739	0.428729	565.215	0.00980643	0.00980621
179	567.073	0.0170978	568.563	0.0177421	0.428328	565.215	0.00979973	0.0097995
180	567.073	0.0170978	568.573	0.0177448	0.427928	565.215	0.00979302	0.00979279
181	567.073	0.0170978	568.583	0.0177492	0.427528	565.215	0.00978632	0.00978609
182	567.073	0.0170978	568.593	0.0177546	0.427127	565.215	0.00977962	0.00977938
183	567.073	0.0170978	568.603	0.0177598	0.426727	565.215	0.00977291	0.00977267
184	567.073	0.0170978	568.613	0.0177611	0.426326	565.215	0.00976621	0.00976597
185	567.073	0.0170978	568.623	0.0177665	0.425926	565.215	0.0097595	0.00975926
186	567.073	0.0170978	568.633	0.0177697	0.425526	565.215	0.0097528	0.00975255
187	567.073	0.0170978	568.643	0.0177733	0.425125	565.215	0.0097461	0.00974585
188	567.073	0.0170978	568.653	0.0177778	0.424725	565.215	0.00973939	0.00973914
189	567.073	0.0170978	568.663	0.0177843	0.424324	565.215	0.00973269	0.00973243
190	567.073	0.0170978	568.673	0.0177889	0.423924	565.215	0.00972599	0.00972573
191	567.073	0.0170978	568.683	0.0177927	0.423524	565.215	0.00971928	0.00971902
192	567.073	0.0170978	568.693	0.0177969	0.423123	565.215	0.00971258	0.00971231
193	567.073	0.0170978	568.704	0.0178004	0.422723	565.215	0.00970588	0.00970561
194	567.073	0.0170978	568.714	0.0178049	0.422322	565.215	0.00969917	0.0096989
195	567.073	0.0170978	568.724	0.0178086	0.421922	565.215	0.00969247	0.00969219
196	567.073	0.0170978	568.734	0.0178118	0.421522	565.216	0.00968577	0.00968549
197	567.073	0.0170978	568.744	0.0178169	0.421121	565.216	0.00967907	0.00967878
198	567.073	0.0170978	568.754	0.0178201	0.420721	565.216	0.00967236	0.00967207
199	567.073	0.0170978	568.764	0.0178247	0.42032	565.216	0.00966566	0.00966537
200	567.073	0.0170978	568.775	0.0178285	0.41992	565.216	0.00965896	0.00965866
201	567.073	0.0170978	568.785	0.0178325	0.41952	565.216	0.00965226	0.00965195
202	567.073	0.0170978	568.795	0.0178364	0.419119	565.216	0.00964556	0.00964525
203	567.073	0.0170978	568.805	0.01784	0.418719	565.216	0.00963885	0.00963854
204	567.073	0.0170978	568.816	0.0178442	0.418318	565.216	0.00963215	0.00963183
205	567.073	0.0170978	568.826	0.0178488	0.417918	565.216	0.00962545	0.00962513
206	567.073	0.0170978	568.836	0.0178526	0.417518	565.216	0.00961875	0.00961842
207	567.073	0.0170978	568.847	0.0178557	0.417117	565.216	0.00961205	0.00961171
208	567.073	0.0170978	568.857	0.0178604	0.416717	565.216	0.00960535	0.00960501
209	567.073	0.0170978	568.868	0.0178646	0.416316	565.216	0.00959865	0.0095983
210	567.073	0.0170978	568.878	0.0178685	0.415916	565.216	0.00959195	0.00959159
211	567.073	0.0170978	568.888	0.0178726	0.415516	565.216	0.00958525	0.00958488
212	567.073	0.0170978	568.899	0.0178757	0.415115	565.216	0.00957855	0.00957818
213	567.073	0.0170978	568.909	0.0178805	0.414715	565.216	0.00957185	0.00957147
214	567.073	0.0170978	568.92	0.0178855	0.414314	565.216	0.00956515	0.00956476
215	567.073	0.0170978	568.93	0.0178882	0.413914	565.216	0.00955845	0.00955806
216	567.073	0.0170978	568.941	0.0178923	0.413514	565.216	0.00955175	0.00955135
217	567.073	0.0170978	568.951	0.0178961	0.413113	565.216	0.00954505	0.00954464
218	567.073	0.0170978	568.962	0.0178996	0.412713	565.216	0.00953835	0.00953794
219	567.073	0.0170978	568.973	0.0179037	0.412312	565.216	0.00953165	0.00953123
220	567.073	0.0170978	568.983	0.0179087	0.411912	565.216	0.00952495	0.00952452
221	567.073	0.0170978	568.994	0.0179121	0.411512	565.216	0.00951826	0.00951782
222	567.073	0.0170978	569.004	0.0179149	0.411111	565.216	0.00951156	0.00951111
223	567.073	0.0170978	569.015	0.0179194	0.410711	565.217	0.00950486	0.0095044
224	567.073	0.0170978	569.026	0.0179239	0.41031	565.217	0.00949816	0.0094977
225	567.073	0.0170978	569.037	0.0179285	0.40991	565.217	0.00949147	0.00949099
226	567.073	0.0170978	569.047	0.017933	0.40951	565.217	0.00948477	0.00948428
227	567.073	0.0170978	569.058	0.0179376	0.409109	565.217	0.00947807	0.00947758
228	567.073	0.0170978	569.069	0.0179409	0.408709	565.217	0.00947138	0.00947087
229	567.073	0.0170978	569.08	0.0179433	0.408308	565.217	0.00946468	0.00946416
230	567.073	0.0170978	569.09	0.0179481	0.407908	565.217	0.00945799	0.00945746
231	567.073	0.0170978	569.101	0.0179515	0.407508	565.217	0.00945129	0.00945075
232	567.073	0.0170978	569.112	0.0179555	0.407107	565.217	0.00944459	0.00944404
233	567.073	0.0170978	569.123	0.01796	0.406707	565.217	0.0094379	0.00943734
234	567.073	0.0170978	569.134	0.0179645	0.406306	565.217	0.00943121	0.00943063
235	567.073	0.0170978	569.145	0.017969	0.405906	565.217	0.00942451	0.00942392
236	567.073	0.0170978	569.156	0.0179735	0.405506	565.217	0.00941782	0.00941722
237	567.073	0.0170978	569.167	0.017978	0.405105	565.217	0.00941112	0.00941051
238	567.073	0.0170978	569.177	0.0179812	0.404705	565.217	0.00940443	0.0094038
239	567.073	0.0170978	569.188	0.0179836	0.404304	565.217	0.00939774	0.0093971
240	567.073	0.0170978	569.199	0.0179859	0.403904	565.217	0.00939105	0.00939039
241	567.073	0.0170978	569.21	0.01799	0.403504	565.217	0.00938435	0.00938368
242	567.073	0.0170978	569.221	0.0179945	0.403103	565.217	0.00937766	0.00937698
243	567.073	0.0170978	569.233	0.0179989	0.402703	565.217	0.00937097	0.00937027
244	567.073	0.0170978	569.244	0.0180034	0.402302	565.218	0.00936428	0.00936356
245	567.073	0.0170978	569.255	0.0180078	0.401902	565.218	0.00935759	0.00935686
246	567.073	0.0170978	569.266	0.0180123	0.401502	565.218	0.0093509	0.00935015
247	567.073	0.0170978	569.277	0.0180167	0.401101	565.218	0.00934421	0.00934344
248	567.073	0.0170978	569.288	0.0180211	0.400701	565.218	0.00933752	0.00933674
249	567.073	0.0170978	569.299	0.0180256	0.4003	565.218	0.00933083	0.00933003
250	567.073	0.0170978	569.311	0.01803	0.3999	565.218	0.00932414	0.00932332
251	567.073	0.0170978	569.322	0.0180339	0.399499	565.218	0.00931745	0.00931662
252	567.073	0.0170978	569.333	0.0180377	0.399099	565.218	0.00931077	0.00930991
253	567.073	0.0170978	569.344	0.0180416	0.398699	565.218	0.00930408	0.0093032
254	567.073	0.0170978	569.356	0.0180449	0.398298	565.218	0.00929739	0.0092965
255	567.073	0.0170978	569.367	0.0180493	0.397898	565.218	0.00929071	0.00928979
256	567.073	0.0170978	569.378	0.0180536	0.397497	565.218	0.00928402	0.00928308
257	567.073	0.0170978	569.389	0.0180576	0.397097	565.218	0.00927733	0.00927638
258	567.073	0.0170978	569.401	0.0180617	0.396697	565.218	0.00927065	0.00926967
259	567.073	0.0170978	569.412	0.0180657	0.396296	565.218	0.00926397	0.00926296
260	567.073	0.0170978	569.424	0.0180698	0.395896	565.218	0.00925728	0.00925626
261	567.073	0.0170978	569.435	0.0180739	0.395495	565.219	0.0092506	0.00924955
262	567.073	0.0170978	569.446	0.0180779	0.395095	565.219	0.00924392	0.00924284
263	567.073	0.0170978	569.458	0.018082	0.394695	565.219	0.00923724	0.00923614
264	567.073	0.0170978	569.469	0.0180861	0.394294	565.219	0.00923055	0.00922943
265	567.073	0.0170978	569.481	0.0180901	0.393894	565.219	0.00922387	0.00922272
266	567.073	0.0170978	569.492	0.0180942	0.393493	565.219	0.00921719	0.00921602
267	567.073	0.0170978	569.504	0.0180983	0.393093	565.219	0.00921051	0.00920931
268	567.073	0.0170978	569.516	0.0181024	0.392693	565.219	0.00920383	0.0092026
269	567.073	0.0170978	569.527	0.0181065	0.392292	565.219	0.00919716	0.0091959
270	567.073	0.0170978	569.539	0.0181105	0.391892	565.219	0.00919048	0.00918919
271	567.073	0.0170978	569.55	0.0181144	0.391491	565.219	0.0091838	0.00918248
272	567.073	0.0170978	569.562	0.0181184	0.391091	565.219	0.00917713	0.00917578
273	567.073	0.0170978	569.574	0.0181223	0.390691	565.219	0.00917045	0.00916907
274	567.073	0.0170978	569.585	0.0181262	0.39029	565.219	0.00916378	0.00916236
275	567.073	0.0170978	569.597	0.0181302	0.38989	565.219	0.0091571	0.00915566
276	567.073	0.0170978	569.609	0.0181341	0.389489	565.22	0.00915043	0.00914895
277	567.073	0.0170978	569.62	0.0181381	0.389089	565.22	0.00914375	0.00914224
278	567.073	0.0170978	569.632	0.018142	0.388689	565.22	0.00913708	0.00913554
279	567.073	0.0170978	569.644	0.018146	0.388288	565.22	0.00913041	0.00912883
280	567.073	0.0170978	569.656	0.0181499	0.387888	565.22	0.00912374	0.00912212
281	567.073	0.0170978	569.668	0.0181539	0.387487	565.22	0.00911707	0.00911542
282	567.073	0.0170978	569.68	0.0181578	0.387087	565.22	0.0091104	0.00910871
